slug,brand,product,date,origin,size,style,pasteurized,added_sugar,organic,fair_trade,pulp,taste,sweetness,body,refreshment,ethics,overall,url
harmless-harvest-original,Harmless Harvest,Organic Coconut Water,2026-06-26,Thailand,10 fl oz (296 mL),Still,no,no,yes,yes,no,8.0,6.0,6.0,7.0,8.0,8.1,https://natewooding.com/reviews/harmless-harvest-original.html
kirkland-organic,Kirkland Signature,Organic Coconut Water,2026-07-06,Thailand,14 fl oz (414 mL),Still,no,no,yes,no,no,7.0,5.0,5.0,8.0,3.0,7.9,https://natewooding.com/reviews/kirkland-organic.html
sprouts-organic,Sprouts,Organic Coconut Water,2026-07-05,Thailand,16 fl oz (473 mL),Still,no,no,yes,yes,no,8.0,7.0,4.0,6.0,3.0,7.8,https://natewooding.com/reviews/sprouts-organic.html
trader-joes-organic,Trader Joe's,Organic Coconut Water,2026-06-07,Thailand,10 fl oz,Still,no,no,yes,no,no,8.0,7.0,4.0,6.0,3.0,7.8,https://natewooding.com/reviews/trader-joes-organic.html
harmless-harvest-sparkling,Harmless Harvest,Organic Sparkling Coconut Water,2026-06-01,Thailand,16 fl oz,Sparkling,no,no,yes,yes,no,5.0,5.0,7.0,6.0,8.0,7.4,https://natewooding.com/reviews/harmless-harvest-sparkling.html
coaqua-sparkling,Coaqua,Sparkling Coconut Water,2026-06-04,Vietnam,16.9 fl oz,Sparkling,yes,yes,no,no,no,7.0,7.0,6.0,6.0,1.0,7.3,https://natewooding.com/reviews/coaqua-sparkling.html
zico-pure,Zico,Organic Coconut Water,2026-07-01,Thailand,13.5 fl oz (400 mL),Still,no,no,yes,no,no,7.0,7.0,4.0,5.0,3.0,6.9,https://natewooding.com/reviews/zico-pure.html
coaqua-still,Coaqua,Still Coconut Water,2026-06-02,Vietnam,16.9 fl oz,Still,yes,yes,no,no,no,7.0,8.0,5.0,5.0,1.0,6.6,https://natewooding.com/reviews/coaqua-still.html
zico-natural,Zico,Natural 100% Coconut Water,2026-06-11,Thailand,1 L,Still,yes,no,no,no,no,7.0,4.0,4.0,7.0,2.0,6.6,https://natewooding.com/reviews/zico-natural.html
simple-truth-no-pulp,Simple Truth,Organic Coconut Water,2026-06-13,Philippines,33.8 fl oz / 1 L,Still,yes,no,yes,yes,no,6.0,3.0,3.0,8.0,5.0,6.3,https://natewooding.com/reviews/simple-truth-no-pulp.html
moon-boo-sun,Moon Boo Sun,Organic Coconut Water,2026-06-19,Vietnam,16.57 fl oz (490 mL),Still,yes,no,yes,no,no,6.0,5.0,8.0,3.0,3.0,6.2,https://natewooding.com/reviews/moon-boo-sun.html
taste-nirvana,Taste Nirvana,Real Premium Coconut Water,2026-07-07,Thailand,9.5 fl oz (280 mL),Still,yes,no,no,no,no,6.0,6.0,4.0,5.0,2.0,5.4,https://natewooding.com/reviews/taste-nirvana.html
nilo-pulp,Nilo,Coconut Water with Pulp,2026-06-19,Vietnam,16.5 fl oz (490 mL),Still,yes,no,no,no,yes,5.0,6.0,6.0,4.0,1.0,5.3,https://natewooding.com/reviews/nilo-pulp.html
real-coco-pure,Real Coco,Organic Pure Coconut Water,2026-06-05,Vietnam,1 L,Still,yes,no,yes,no,no,3.0,4.0,2.0,7.0,3.0,5.2,https://natewooding.com/reviews/real-coco-pure.html
sprouts-pulp,Sprouts,100% Coconut Water with Pulp,2026-06-28,,17.5 fl oz (520 mL),Still,yes,no,no,no,yes,5.0,4.0,6.0,6.0,2.0,5.2,https://natewooding.com/reviews/sprouts-pulp.html
vita-coco-farmers-organic,Vita Coco,Farmers Organic,2026-06-09,,1 L,Still,yes,no,yes,no,no,5.0,4.0,4.0,6.0,3.0,5.2,https://natewooding.com/reviews/vita-coco-farmers-organic.html
vita-coco-original,Vita Coco,The Original,2026-06-08,,16.9 fl oz,Still,yes,yes,no,no,no,4.0,7.0,3.0,5.0,3.0,5.0,https://natewooding.com/reviews/vita-coco-original.html
c2o-organic,C2O,Organic Coconut Water,2026-06-28,Thailand,33.8 fl oz / 1 L,Still,yes,yes,yes,no,no,4.0,7.0,5.0,6.0,2.0,4.8,https://natewooding.com/reviews/c2o-organic.html
goya-original,Goya,Coconut Water,2026-08-31,Vietnam,16.9 fl oz (500 mL),Still,yes,yes,no,no,no,4,7,3,7,1,4.7,https://natewooding.com/reviews/goya-original.html
goya-organic,Goya,Organics Coconut Water,2026-09-04,,16.9 fl oz (500 mL),Still,yes,yes,yes,no,no,3,7,5,5,2,4.6,https://natewooding.com/reviews/goya-organic.html
maui-and-sons,Maui & Sons,100% Pure Coconut Water,2026-06-09,Vietnam,1 L,Still,yes,no,no,no,no,4.0,3.0,4.0,6.0,1.0,4.6,https://natewooding.com/reviews/maui-and-sons.html
once-upon-a-coconut,Once Upon a Coconut,Premium Coconut Water,2026-06-26,Vietnam,10.8 fl oz (320 mL),Still,yes,yes,no,no,no,3.0,8.0,3.0,3.0,3.0,4.6,https://natewooding.com/reviews/once-upon-a-coconut.html
vita-coco-extra-coconut,Vita Coco,Extra Coconut,2026-06-08,,16.9 fl oz,Still,yes,yes,no,no,no,3.0,6.0,9.0,3.0,3.0,4.6,https://natewooding.com/reviews/vita-coco-extra-coconut.html
blue-monkey-organic,Blue Monkey,Organic Pure Coconut Water,2026-07-08,Vietnam,33.8 fl oz / 1 L,Still,yes,no,yes,no,no,4.0,3.0,3.0,7.0,3.0,4.4,https://natewooding.com/reviews/blue-monkey-organic.html
goya-pulp,Goya,Coconut Water with Pulp,2026-09-03,Thailand,17.6 fl oz (520 mL),Still,yes,yes,no,no,yes,5,9,5,6,1,4.4,https://natewooding.com/reviews/goya-pulp.html
c2o-pulp,C2O,Coconut Water with Pulp,2026-06-16,Thailand,17.5 fl oz (520 mL),Still,yes,yes,no,no,yes,3.0,6.0,5.0,4.0,1.0,4.2,https://natewooding.com/reviews/c2o-pulp.html
cocochito-pulp,Cocochito,with Pulp,2026-06-03,Thailand,16.5 fl oz,Still,yes,yes,no,no,yes,4.0,7.0,6.0,4.0,1.0,4.1,https://natewooding.com/reviews/cocochito-pulp.html
hydro-coco,Hydro Coco,Original,2026-09-11,Indonesia,8.5 fl oz (250 mL),Still,yes,yes,no,no,no,5,8,2,6,1,4.1,https://natewooding.com/reviews/hydro-coco.html
el-mexicano-pulp,El Mexicano,Agua de Coco with Pulp,2026-06-20,Thailand,500 mL,Still,yes,yes,no,no,yes,4.0,9.0,6.0,3.0,1.0,3.9,https://natewooding.com/reviews/el-mexicano-pulp.html
trader-joes-pasteurized,Trader Joe's,Coconut Water,2026-06-06,Brazil,1 L,Still,yes,no,no,no,no,3.0,4.0,4.0,5.0,2.0,3.9,https://natewooding.com/reviews/trader-joes-pasteurized.html
visvita-pulp,Visvita,Coconut Water with Pulp,2026-06-24,Vietnam,16.5 fl oz (490 mL),Still,yes,yes,no,no,yes,5.0,9.0,5.0,4.0,1.0,3.8,https://natewooding.com/reviews/visvita-pulp.html
coconut-season-pulp,Coconut Season,Coconut Water with Pulp,2026-09-20,Thailand,16.9 fl oz (500 mL),Still,yes,yes,no,no,yes,4,7,4,4,1,3.7,https://natewooding.com/reviews/coconut-season-pulp.html
